Message ID (Hex),Message Name,Sender,Receivers,DLC,Cycle (ms),Signal Name,Byte,Bit,Size,Type,Scale,Range,Unit,Description
0x001,SAFETY_ESTOP,Any,"RT, Host, MTR",0,0,(No signals/Opaque),,,,,,,,
0x110,RTA_MODE_CMD,RT,MTR,1,1000,mode,0,0,8,unsigned,1,"[0, 2]",,
0x111,HMI_MODE_REQ,HMI,RT,2,1000,req_mode,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=MANUAL, 1=AUTO)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x112,HMI_PWR_REQ,HMI,RT,2,1000,req_start,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=OFF, 1=ON)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x120,SYS_THROTTLE_STS,MTR,RT,2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x169,VCU_SES_REQ,RT,EPS_C,8,20,(No signals/Opaque),,,,,,,,
0x201,SES_STATUS,EPS_C,RT,8,10,(No signals/Opaque),,,,,,,,
0x202,SES_ERR_INFO,EPS_C,RT,8,100,(No signals/Opaque),,,,,,,,
0x203,SES_VERSION,EPS_C,RT,8,1000,(No signals/Opaque),,,,,,,,
0x204,RTA_DRIVE_CMD,RT,MTR,5,10,motor_speed_mmps,0,0,32,signed,1,"[-500, 3000]",,
,,,,,,gear,4,0,8,unsigned,1,"[0, 3]",," (Values: 0=N, 1=D, 2=S, 3=R)"
0x206,MTR_MOTOR_FBK,MTR,RT,4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x302,HOST_LIGHT_CMD,Host,RT,1,0,left_turn,0,0,1,unsigned,1,"[0, 1]",,
,,,,,,right_turn,0,1,1,unsigned,1,"[0, 1]",,
,,,,,,brake_light,0,2,1,unsigned,1,"[0, 1]",,
,,,,,,headlight,0,3,1,unsigned,1,"[0, 1]",,
0x6FA,SES_TEST,EPS_C,RT,8,10,(No signals/Opaque),,,,,,,,
0x6FB,SEB_TEST,SEB,RT,8,10,(No signals/Opaque),,,,,,,,
0x721,SEB_STATUS,SEB,RT,8,10,(No signals/Opaque),,,,,,,,
0x731,SEB_ERR_INFO,SEB,RT,8,100,(No signals/Opaque),,,,,,,,
0x741,SEB_VERSION,SEB,RT,8,1000,(No signals/Opaque),,,,,,,,
0x7B9,VCU_SEB_REQ,RT,SEB,8,20,(No signals/Opaque),,,,,,,,
0x7FD,RTA_HEARTBEAT,RT,MTR,2,500,alive_ctr,0,0,8,unsigned,1,"[0, 255]",,
,,,,,,health_flags,1,0,8,unsigned,1,"[0, 255]",,
