Message ID (Hex),Message Name,Sender,Receivers,DLC,Cycle (ms),Signal Name,Byte,Bit,Size,Type,Scale,Range,Unit,Description
0x001,SAFETY_ESTOP_high,Any,"RT, Host, MTR",0,0,(No signals/Opaque),,,,,,,,
0x001,SAFETY_ESTOP_low,Any,"RT, Host, MTR",0,0,(No signals/Opaque),,,,,,,,
0x110,RTA_MODE_CMD_low,RT,MTR,1,1000,mode,0,0,8,unsigned,1,"[0, 2]",,
0x120,SYS_THROTTLE_STS_low,MTR,RT,2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x120,SYS_THROTTLE_STS_high,MTR,Host,2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x204,RTA_DRIVE_CMD_low,RT,MTR,5,10,motor_speed_mmps,0,0,32,signed,1,"[-500, 3000]",,
,,,,,,gear,4,0,8,unsigned,1,"[0, 3]",," (Values: 0=N, 1=D, 2=S, 3=R)"
0x206,MTR_MOTOR_FBK_low,MTR,RT,4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x206,MTR_MOTOR_FBK_high,MTR,Host,4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x7FD,RTA_HEARTBEAT_low,RT,MTR,2,500,alive_ctr,0,0,8,unsigned,1,"[0, 255]",,
,,,,,,health_flags,1,0,8,unsigned,1,"[0, 255]",,
